,AO: Binding Coverage,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AO: Bound Rate: Simple Mean: Primary Products,AO: Share of Tariff Lines with International Peaks: Primary Products,AO: Tariff Rate: Most Favored Nation: Simple Mean: Primary Products,AO: Tariff Rate: Applied: Simple Mean: Primary Products,AO: Binding Coverage: Primary Products,AO: Imports: Goods,AO: Imports: % of Goods Imports: Ores & Metals,AO: Imports: % of Goods Imports: Manufactures,AO: Imports: % of Commercial Service Imports: Services: Insurance & Financial,AO: Imports: High-Income Economies: % of Total Goods Imports,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,AO: Imports: % of Goods Imports: Food,AO: Imports: % of Goods Imports: Fuel,AO: Tariff Rate: Most Favored Nation: Weighted Mean: Primary Products,AO: Imports: % of Goods Imports: Agricultural Raw Materials,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,AO: Exports: High-Income Economies: % of Total Goods Exports,"AO: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AO: Imports: Goods by Reporting Economy,AO: Export Volume Index,AO: Imports: % of Commercial Service Imports: Services: Travel,AO: Imports: % of Commercial Service Imports: Services: Transport,AO: Tariff Rate: Most Favored Nation: Weighted Mean,AO: Tariff Rate: Applied: Weighted Mean,AO: Exports: % of Total Goods Exports: Residual,AO: Exports: % of Commercial Service Exports: Services: Travel,AO: Exports: Goods,AO: Exports: % of Goods Exports: Agricultural Raw Materials,AO: Imports: Commercial Service,AO: Exports: % of Goods Exports: Food,AO: Exports: % of Goods Exports: Fuel,AO: Exports: Commercial Service,AO: Exports: % of Commercial Service Exports: Services: Transport,AO: Exports: Goods by Reporting Economy,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,"AO: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services",AO: Exports: % of Goods Exports: Ores & Metals,AO: Exports: % of Goods Exports: Manufactures,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AO: Tariff Rate: Applied: Weighted Mean: Primary Products,AO: Share of Tariff Lines with Specific Rates: Primary Products,AO: Imports: % of Total Goods Imports: Residual,AO: Bound Rate: Simple Mean: Manufactured Products,AO: Binding Coverage: Manufactured Products,AO: Import Volume Index,AO: Share of Tariff Lines with Specific Rates: Manufactured Products,AO: Tariff Rate: Most Favored Nation: Simple Mean: Manufactured Products,AO: Share of Tariff Lines with International Peaks,AO: Share of Tariff Lines with International Peaks: Manufactured Products,AO: Tariff Rate: Most Favored Nation: Weighted Mean: Manufactured Products,AO: Tariff Rate: Applied: Simple Mean: Manufactured Products,AO: Tariff Rate: Most Favored Nation: Simple Mean,AO: Tariff Rate: Applied: Simple Mean,AO: Tariff Rate: Applied: Weighted Mean: Manufactured Products,AO: Bound Rate: Simple Mean,AO: Share of Tariff Lines with Specific Rates,AO: Exports: % of Total Goods Exports: The Arab World,AO: Imports: % of Total Goods Imports: The Arab World,AG: BoP: Current Account: Services: Transport: Freight: Credit,AG: BoP: Current Account: Goods: General Merchandise on a BOP Basis: ow Re Exports: Credit,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AG: BoP: Current Account: Goods: General Merchandise on a BOP Basis: Debit,AG: BoP: Current Account: Services: Transport: Debit,AG: BoP: Current Account: Services: Transport: Sea: Debit,AG: BoP: Current Account: Services: Transport: Sea: Credit,AG: BoP: Current Account: Services: Transport: Sea: Freight,AG: BoP: Current Account: Services: Transport: Sea,AG: BoP: Current Account: Services: Transport: Sea: Others,AG: BoP: Current Account: Services: Transport: Sea: Others: Debit,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AG: BoP: Current Account: Services: Transport: Sea: Passenger,AG: BoP: Current Account: Services: Transport: Sea: Passenger: Credit,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Debit,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AG: BoP: Current Account: Services: Transport: Sea: Freight: Credit,AG: BoP: Current Account: Services: Transport: Sea: Passenger: Debit,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Credit,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AG: BoP: Current Account: Services: Transport: Others,AG: BoP: Current Account: Services: Transport: Others: Credit,AG: BoP: Current Account: Services: Transport: Others: Debit,AG: BoP: Current Account: Services: Transport: Freight,AG: BoP: Current Account: Services: Transport: Freight: Debit,AG: BoP: Current Account: Services: Transport: Passenger,AG: BoP: Current Account: Services: Transport: Passenger: Credit,AG: BoP: Current Account: Services: Transport: Passenger: Debit,AG: BoP: Current Account: Services: Transport: Sea: Freight: Debit,AG: BoP: Current Account: Services: Transport: Sea: Others: Credit,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Goods for Processing: Processing in Reporting Economy: Debit,AO: (DC)Exports: % of Commercial Service Exports: Services: Insurance & Financial
Region,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Antigua and Barbuda,Antigua and Barbuda,Angola,Angola,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Angola,Antigua and Barbuda,Antigua and Barbuda,Angola,Antigua and Barbuda,Antigua and Barbuda,Angola,Antigua and Barbuda,Antigua and Barbuda,Angola,Antigua and Barbuda,Angola,Angola,Angola,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Angola,Antigua and Barbuda,Angola
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,%,%,%,%,%,%,%,USD mn,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,2000=100,%,%,%,%,%,%,USD mn,%,USD mn,%,%,USD mn,%,USD mn,%,%,%,%,%,%,%,%,%,%,2000=100,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,USD mn,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,%,USD mn,USD mn,%,USD mn,USD mn,%,USD mn,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,USD mn,%
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued
Series ID,274625702,275579902,274783202,274798002,274835802,274816902,274768502,275055202,275034202,275013102,274993102,275076602,275096502,274932502,274953602,274892402,274911402,275181102,275259502,275559902,275287002,275239202,275381102,275346902,275327002,274749802,274730902,275700602,275866102,275538502,275395602,275306902,275416702,275437802,275788802,275846302,275721002,275741302,275768902,275517602,275496502,275663602,274873502,274854602,275218802,274497802,274483102,274469002,274569202,274550402,274655402,274512602,274607002,274531502,274693202,274674302,274588102,274640502,274712002,298287102,298229202,387441587,396064417,335752002,342881402,335381601,335383401,335384001,335383801,396166997,335383601,396210297,409765267,275626202,409794287,409794237,275645102,409839837,409870457,275682602,409840897,409863817,275609802,409855967,275143702,275162302,275200602,369223377,369223397,369223417,369223437,369223457,369223477,369223497,369223517,396102567,396142237,298257202,409857617,275476802
SR Code,SR6734710,SR6733984,SR6734657,SR6734666,SR6734571,SR6734631,SR6734807,SR6733612,SR6733448,SR6733521,SR6733802,SR6733925,SR6733811,SR6733885,SR6733520,SR6734538,SR6733512,SR6733835,SR6733539,SR6734106,SR6733748,SR6733490,SR6734038,SR6733770,SR6733910,SR6734582,SR6734650,SR6734043,SR6734412,SR6734244,SR6733955,SR6733831,SR6734062,SR6734409,SR6734195,SR6734060,SR6734126,SR6734298,SR6734373,SR6734371,SR6734319,SR6734289,SR6734520,SR6734567,SR6733473,SR6734511,SR6734691,SR6734288,SR6734688,SR6734510,SR6734840,SR6734661,SR6734752,SR6734449,SR6734537,SR6734493,SR6734598,SR6734679,SR6734812,SR6734061,SR6733547,SR106261107,SR109728447,SR112706647,SR112748667,SR103789577,SR103789667,SR103789777,SR103789767,SR109728467,SR103789757,SR109728487,SR118982087,SR6734057,SR118982047,SR118982057,SR6734284,SR118981957,SR118981977,SR6734400,SR118982077,SR118982067,SR6734311,SR118981967,SR6733498,SR6733889,SR6733733,SR103789677,SR103789687,SR103789697,SR103789707,SR103789717,SR103789727,SR103789737,SR103789747,SR109728477,SR109728497,SR6733719,SR118982007,SR6734113
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
