,Avg Annual Wage,Production of Primary Energy,Foreign Exchange Income from Tourism,Government Expenditure,Money Supply M1
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly
Unit,RMB,SCE Ton mn,USD mn,RMB bn,RMB bn
Source,National Bureau of Statistics,National Bureau of Statistics,Ministry of Culture and Tourism,Ministry of Finance,The People's Bank of China
Status,Active,Active,Active,Active,Active
Series ID,4950701 (CGLA),3658001 (CBGA),8442901 (CQJA),4332701 (CFPAB),7027501 (CKSAAB)
SR Code,SR19466,SR72390,SR619870,SR353859,SR21279
Mnemonic,,CN.NGSUP.VO.MN-M,,,
Function Information,,,,,
First Obs. Date,12/1952,01/1986,01/1995,01/1995,01/1997
Last Obs. Date,12/2018,02/2010,12/2017,04/2019,04/2019
Last Update Time,14/05/2019,06/08/2014,02/04/2019,09/05/2019,14/05/2019
Series remarks,,,,,
Suggestions,,,,,
05/2004,,129.2724,2033.46,172.09,8678.037
06/2004,,135.0628,2118.32,248.03,8862.714
07/2004,,133.1792,2270.25,193.53,8798.223
08/2004,,135.1822,2372.73,197.65,8912.533
09/2004,,135.1434,2254.5,242.99,9043.905
10/2004,,139.1946,2558.18,191.73,9078.248
11/2004,,139.7455,2335.53,253.18,9238.713
12/2004,15920,145.7449,2234.56,689.309,9596.97
01/2005,,128.5672,2130.5,155.56,9707.37
02/2005,,112.167,2017.72,147.28,9280.99
03/2005,,137.3356,2440.34,218.09,9473.81
04/2005,,140.2555,2564.11,238.09,9458.86
05/2005,,149.1793,2420.95,199.51,9579.8
06/2005,,156.5813,2530.5,283.6,9859.73
07/2005,,152.9194,2585.51,223.93,9767.04
08/2005,,154.2764,2643.74,241.33,9937.41
09/2005,,155.0849,2468.92,287.603,10096.05
10/2005,,160.0653,2770.07,218.8,10174.73
11/2005,,161.8929,2425.66,318.84,10412.28
12/2005,18200,167.9789,2297.93,860.395,10727.56
01/2006,,132.9629,2161,222.79,10725.068
02/2006,,135.4502,2217,155.97,10435.708
03/2006,,159.7916,2463,250.41,10673.708
04/2006,,164.7193,2716,272.85,10638.911
05/2006,,167.9079,2573,216.63,10921.922
06/2006,,174.7647,2552,341.46,11234.236
07/2006,,167.8389,2772,252.48,11265.304
08/2006,,168.5806,2878,260.49,11484.567
09/2006,,171.8252,2696,342.62,11681.41
10/2006,,176.0326,3097,267.06,11835.996
11/2006,,175.847,2912,378.37,12164.495
12/2006,20856,186.2853,,1081.143,12603.513
01/2007,,165.934,2723,187.09,12848.406
02/2007,,139.044,2403,254.37,12625.808
03/2007,,168.54,3172,287.42,12788.131
04/2007,,177.0094,3287,322.05,12767.833
05/2007,,181.681,3223,292.22,13027.58
06/2007,,194.2689,3127,448.86,13584.74
07/2007,,190.598,3348,323.66,13623.743
08/2007,,191.7,3410,342.67,14099.321
09/2007,,197.5288,3205,443.31,14259.157
10/2007,,191.646,3613,356.03,14464.933
11/2007,,196.571,3237,450.82,14800.982
12/2007,24721,199.147,,1269.635,15256.008
01/2008,,178.412,3319,301.41,15487.02
02/2008,,163.108,3041,268.29,15017.788
03/2008,,197.247,3710,380.98,15086.747
04/2008,,199.6059,3699,407.84,15169.491
05/2008,,214.67,3379,402.46,15334.475
06/2008,,228.0506,3084,527.22,15482.015
07/2008,,214.528,3256,456.14,15499.244
08/2008,,217.632,3198,403.574,15688.992
09/2008,,218.508,3142,494.894,15574.897
10/2008,,208.4799,3680,414.317,15719.436
11/2008,,214.576,3253,525.403,15782.663
12/2008,28898,205.2863,3142,1676.738,16621.713
01/2009,,170.379,2769,399.35,16521.43413335
02/2009,,185.6052,2834,381.01,16614.96011884
03/2009,,215.594,3161,500.739,17654.1131332
04/2009,,215.506,3418,507.805,17821.35682703
05/2009,,233.494,3086,460.801,18202.558
06/2009,,257.201,2977,640.558,19313.815
07/2009,,244.6677,3325,498.567,19588.927
08/2009,,248.3329,3466,473.712,20039.48261
09/2009,,244.7764,3134,657.743,20170.81397548
10/2009,,249.0681,3622,468.326,20754.57431237
11/2009,,257.2223,3360,634.993,21249.32037491
12/2009,32244,278.1534,3445,2006.389,22144.581
01/2010,,235.5916,3385,346.58,22958.898
02/2010,,198.8624,2883,494.021,22428.69543861
03/2010,,,3940,592.395,22939.79332091
04/2010,,,3960,557.555,23390.97597112
05/2010,,,3899,578.67,23649.78831313
06/2010,,,3794,811.915,24057.99975
07/2010,,,3958,581.087,24066.40696059
08/2010,,,4047,641.369,24434.06421118
09/2010,,,3842,846.904,24382.19
10/2010,,,4224,648.83,25331.31692514
11/2010,,,3635,1059.964,25942.032
12/2010,36539,,3629,1828.126,26662.154
01/2011,,,3377,598,26176.5006
02/2011,,,3216,450,25920.04996
03/2011,,,3860,757,26625.548
04/2011,,,4183,730.445,26676.69145447
05/2011,,,3985,826.8,26928.96255273
06/2011,,,3929,1080.912,27466.257
07/2011,,,4131,694.992,27054.56549788
08/2011,,,4164,807.696,27339.37738386
09/2011,,,3934,1001.855,26719.31613235
10/2011,,,4359,807.903,27655.26710723
11/2011,,,3897,1139.618,28141.63725048
12/2011,41799,,3935,2029.201,28984.76965817
01/2012,,,3484,702.68,27001.03971094
02/2012,,,3683,689.734,27031.211
03/2012,,,4171,1019.391,27799.81139708
04/2012,,,4353,788.578,27498.38247
05/2012,,,4128,916.497,27865.63104295
06/2012,,,4010,1272.421,28752.617
07/2012,,,4069,952.766,28309.06808921
08/2012,,,4232,901.962,28573.92652836
09/2012,,,3925,1167.902,28678.82060561
10/2012,,,4312,861.663,29330.97848714
11/2012,,,3911,1215.97,29688.30455232
12/2012,46769,,3938,2081.665,30866.42312482
01/2013,,,3809,836.726,31122.85456982
02/2013,,,3228,773.762,29610.3237184
03/2013,,,4371,1093.186,31089.82931475
04/2013,,,4151,930.795,30764.84202428
05/2013,,,3949,1026.561,31020.44783621
06/2013,,,3930,1310.369,31349.982
07/2013,,,3941,935.451,31059.64635
08/2013,,,4131,960.761,31408.5908309
09/2013,,,3964,1285.622,31233.03433102
10/2013,,,4582,1050.735,31950.93799699
11/2013,,,4016,1265.753,32482.19227524
12/2013,51483,,4176,2504.679,33729.10504966
01/2014,,,3830,1015.331,31490.05524853
02/2014,,,3620,691.339,31662.51139451
03/2014,,,4248,1336.577,32768.37447756
04/2014,,,4430,940.981,32448.25198919
05/2014,,,4387,1278.984,32783.95649629
06/2014,,,4257,1652.198,34148.74454819
07/2014,,,4280,1025.619,33134.73165345
08/2014,,,4494,1020.369,33202.32251474
09/2014,,,4353,1402.553,32722.02078667
10/2014,,,4874,990.978,32961.77320839
11/2014,,,4348,1275.858,33511.41347335
12/2014,56360,,5128,2535.413,34805.6408948
01/2015,,,8931,813.678,34810.95022462
02/2015,,,8500,1072.838,33443.92226729
03/2015,,,9419,1395.011,33721.05240646
04/2015,,,10112,1253.45,33638.82446065
05/2015,,,9704,1312.415,34308.58551701
06/2015,,,9048,1881.402,35608.28554586
07/2015,,,9150,1273.237,35312.21938294
08/2015,,,9604,1284.351,36279.37294482
09/2015,,,9498,1779.871,36441.69005887
10/2015,,,10621,1349.142,37580.64496771
11/2015,,,9699,1606.943,38761.832
12/2015,62029,,9362,2554.462,40095.34400483
01/2016,,,9093,1013.412,41268.56394991
02/2016,,,7986,1103.615,39250.46963498
03/2016,,,10335,1678.804,41158.13142713
04/2016,,,10580,1310.932,41350.484
05/2016,,,10050,1546.051,42425.0701925
06/2016,,,9836,2263.687,44364.37002179
07/2016,,,10121,1276.827,44293.44308342
08/2016,,,9926,1418.678,45454.35986923
09/2016,,,10141,1983.617,45434.025
10/2016,,,11332,1181.854,46544.66474847
11/2016,,,10328,1806.387,47540.55415183
12/2016,67569,,10270,2200.236,48655.72373709
01/2017,,,9050,1393.536,47252.645
02/2017,,,8930,1092.432,47652.75951869
03/2017,,,10703,2105.748,48877.009
04/2017,,,11120,1363.552,49018.04197274
05/2017,,,10407,1691.475,49638.97821732
06/2017,,,10082,2701.591,51022.81659767
07/2017,,,10093,1349.604,51048.45775192
08/2017,,,10008,1464.728,51811.39297987
09/2017,,,10396,2024.64,51786.30373294
10/2017,,,11347,1112.179,52597.71904197
11/2017,,,10540,1656.558,53556.50495412
12/2017,74318,,10740,2376.96,54379.01451912
01/2018,,,,1292.757,54324.71257016
02/2018,,,,1613.427,51703.59928415
03/2018,,,,2193.515,52354.00745583
04/2018,,,,1469.556,52544.77703356
05/2018,,,,1700.267,52627.67155438
06/2018,,,,2889.689,54394.47123078
07/2018,,,,1394.439,53662.42938809
08/2018,,,,1513.695,53832.464435
09/2018,,,,2261.604,53857.40824688
10/2018,,,,1203.08,54012.83654646
11/2018,,,,1643.058,54349.86609315
12/2018,82461,,,2915.513,55168.59075487
01/2019,,,,,54563.84595026
02/2019,,,,,52719.04766662
03/2019,,,,2531.5,54757.55422892
04/2019,,,,1703.8,54061.46045737
