,CN: GDP: Anhui: Chaohu,CN: (DC)GDP: TI: Scientific Research and Ploytechnic Services,(DC)Base Lending Rate: Working Capital: 1 Year,"(DC)FAI: ytd: Growth: SI: Mfg: Garment, Footwear & Headgear Mfg","(DC)FAI: ytd: SI: Mfg: Instructment, Meter, Cultural & Office Machin"
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,% pa,%,RMB mn
Source,National Bureau of Statistics,National Bureau of Statistics,The People's Bank of China,National Bureau of Statistics,National Bureau of Statistics
Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,146392301 (CAAHGB),1748801 (CAABAQ),7052801 (CMABB),7892501 (COBDRK),7883801 (COBDOB)
SR Code,SR1927130,SR819331,SR37056,SR158155,SR782354
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/1991,12/1990,02/1989,01/2004,01/2004
Last Obs. Date,12/2010,12/2003,10/2014,12/2011,12/2011
Last Update Time,25/09/2018,07/12/2010,03/03/2015,28/03/2012,13/03/2012
Series remarks,,,,,
06/2000,,,5.85,,
07/2000,,,5.85,,
08/2000,,,5.85,,
09/2000,,,5.85,,
10/2000,,,5.85,,
11/2000,,,5.85,,
12/2000,19.02267,62.61,5.85,,
01/2001,,,5.85,,
02/2001,,,5.85,,
03/2001,,,5.85,,
04/2001,,,5.85,,
05/2001,,,5.85,,
06/2001,,,5.85,,
07/2001,,,5.85,,
08/2001,,,5.85,,
09/2001,,,5.85,,
10/2001,,,5.85,,
11/2001,,,5.85,,
12/2001,20.52484,70.27,5.85,,
01/2002,,,5.85,,
02/2002,,,5.31,,
03/2002,,,5.31,,
04/2002,,,5.31,,
05/2002,,,5.31,,
06/2002,,,5.31,,
07/2002,,,5.31,,
08/2002,,,5.31,,
09/2002,,,5.31,,
10/2002,,,5.31,,
11/2002,,,5.31,,
12/2002,22.27315,80.206,5.31,,
01/2003,,,5.31,,
02/2003,,,5.31,,
03/2003,,,5.31,,
04/2003,,,5.31,,
05/2003,,,5.31,,
06/2003,,,5.31,,
07/2003,,,5.31,,
08/2003,,,5.31,,
09/2003,,,5.31,,
10/2003,,,5.31,,
11/2003,,,5.31,,
12/2003,24.82739,88.416,5.31,,
01/2004,,,5.31,123.5,808
02/2004,,,5.31,123.5,808
03/2004,,,5.31,103.1,1762
04/2004,,,5.31,97.4,2775
05/2004,,,5.31,61.5,4018
06/2004,,,5.31,38.6,5570
07/2004,,,5.31,36,6390
08/2004,,,5.31,35.5,7468
09/2004,,,5.31,32.4,8622
10/2004,,,5.58,30.3,9841
11/2004,,,5.58,28.7,11154
12/2004,29.462,,5.58,31.1,13710
01/2005,,,5.58,9.1,921
02/2005,,,5.58,9.1,921
03/2005,,,5.58,24.7,2219
04/2005,,,5.58,35.5,2878
05/2005,,,5.58,42.3,4322
06/2005,,,5.58,43.7,6310
07/2005,,,5.58,46.9,7818
08/2005,,,5.58,45,9287
09/2005,,,5.58,49.2,10910
10/2005,,,5.58,49.3,12585
11/2005,,,5.58,46.8,14197
12/2005,30.187,,5.58,47.3,16099
01/2006,,,5.58,95.5,965
02/2006,,,5.58,95.5,965
03/2006,,,5.58,56.3,2740
04/2006,,,5.85,60,4109
05/2006,,,5.85,62.3,6064
06/2006,,,5.85,55.2,9253
07/2006,,,5.85,50.2,10831
08/2006,,,6.12,41.4,12677
09/2006,,,6.12,39.7,14660
10/2006,,,6.12,36.9,16833
11/2006,,,6.12,41.7,19181
12/2006,34.44,,6.12,42.7,22804
01/2007,,,6.12,42.2,1456
02/2007,,,6.12,42.2,1456
03/2007,,,6.39,36.6,3473
04/2007,,,6.39,37.7,5446
05/2007,,,6.57,39.1,8328
06/2007,,,6.57,35.4,11334
07/2007,,,6.84,41.7,13486
08/2007,,,7.02,49.3,15303
09/2007,,,7.29,44.3,18581
10/2007,,,7.29,43.1,20801
11/2007,,,7.29,39.8,23903
12/2007,40.399,,7.47,36,28300
01/2008,,,7.47,26.3,2615
02/2008,,,7.47,26.3,2615
03/2008,,,7.47,26.9,5449
04/2008,,,7.47,19.7,7738
05/2008,,,7.47,24.7,11575
06/2008,,,7.47,24.7,16856
07/2008,,,7.47,18.8,20473
08/2008,,,7.47,19.5,23681
09/2008,,,7.2,19.9,28331.07
10/2008,,,6.66,20.6,31524.4
11/2008,,,5.58,21.5,37209.78
12/2008,47.933,,5.31,19,44348.62
01/2009,,,5.31,6,3367
02/2009,,,5.31,6,3367
03/2009,,,5.31,7.8,7133.38
