,LEAP - 4026 (Parent Series),daily series test 1,International Reserves,Testing 9.7 (f),QC Team Testing: Case: 985.11
Region,Test,Test,Chile,Test,Test
Subnational,,,,,
Frequency,"Daily, ""5 observation""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""5 observation"""
Unit,%,Person,USD mn,Unit,NA
Source,CDM_Stress_Test_STP_QA_Akshata,test22_10,Central Bank of Chile,Test AC 9.7,QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,366946997 (CDCC),352636197,114157808,383129097,379564047
SR Code,SR88307687,SR88086077,SR1393378,SR101306137,SR108100567
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,02/02/2015,01/12/2013,31/12/1995,28/10/2016,13/01/2003
Last Obs. Date,27/03/2015,18/12/2013,07/05/2019,06/12/2016,26/08/2016
Last Update Time,27/03/2015,12/02/2016,15/05/2019,10/10/2018,26/08/2016
Series remarks,,this is my remark,,,
Suggestions,,,,,
30/11/1998,,,15787.33425,,
07/12/1998,,,15640.29967,,
15/12/1998,,,15682.51729,,
23/12/1998,,,15717.33491,,
31/12/1998,,,16292.05254,,
07/01/1999,,,15886.89054,,
15/01/1999,,,15704.25494,,
23/01/1999,,,15880.81133,,
31/01/1999,,,15682.57363,,
07/02/1999,,,15486.39531,,
15/02/1999,,,15569.79356,,
23/02/1999,,,15479.97932,,
28/02/1999,,,15222.61949,,
07/03/1999,,,14944.969,,
15/03/1999,,,14931.43313,,
23/03/1999,,,14943.5394,,
31/03/1999,,,15140.76599,,
07/04/1999,,,15067.16443,,
15/04/1999,,,15759.22771,,
23/04/1999,,,15299.40196,,
30/04/1999,,,15980.88997,,
07/05/1999,,,15811.3989,,
15/05/1999,,,17221.92636,,
23/05/1999,,,16748.00648,,
31/05/1999,,,16795.91211,,
07/06/1999,,,15600.05609,,
15/06/1999,,,15457.19483,,
23/06/1999,,,15212.1241,,
30/06/1999,,,15249.14724,,
07/07/1999,,,15081.83225,,
15/07/1999,,,15062.32236,,
23/07/1999,,,15108.98246,,
31/07/1999,,,15266.58955,,
07/08/1999,,,15280.64661,,
15/08/1999,,,15227.72389,,
23/08/1999,,,15379.00462,,
31/08/1999,,,15191.93261,,
07/09/1999,,,15138.765,,
15/09/1999,,,14817.245,,
23/09/1999,,,14817.227,,
30/09/1999,,,14842.90146,,
07/10/1999,,,14843.03582,,
15/10/1999,,,14930.15861,,
23/10/1999,,,14845.12304,,
31/10/1999,,,14834.63268,,
07/11/1999,,,14883.04901,,
15/11/1999,,,14925.44311,,
23/11/1999,,,14907.02734,,
30/11/1999,,,14689.69398,,
07/12/1999,,,14776.80952,,
15/12/1999,,,14688.85814,,
